,Station Name,Postal Code,mean_income,median_income,population,sex_ratio,poi_number_10m,poi_number_100m,poi_number_1000m,traffic_avg_1000m,traffic_avg_2500m,traffic_avg_5000m,traffic_avg_10000m
232,SALT LAKE CITY / PLAZA 349 #2,84111,"74,870","51,624","13,030",115.1,0,3,299,0,199.355,110.298,88.30235714
236,MAVERIK / MAVERIK 533 1,84339,"138,720","103,971","5,830",95.8,0,0,0,0,19.899,19.899,13.84466667
303,SELECT EVR / EVR L2 B,84341,"84,905","60,169","24,949",106.9,0,0,3,0,2.145,55.6225,32.07375
304,SELECT EVR / EVR L2 A,84341,"84,905","60,169","24,949",106.9,0,0,3,0,2.145,55.6225,32.07375
309,RMP NTO OFFICE / RMP MOAB CT4K,84532,"83,967","60,029","10,103",99.7,0,1,48,0,0,0,125.5345
312,SLC AIRPORT / ECONOMY 1,84114,-,-,,,0,0,41,0,0,60.055,88.61281818
335,FLEET / PSB-FIRE NORTH,84111,"74,870","51,624","13,030",115.1,0,0,207,0,199.355,110.298,78.62944444
356,FLEET / FLEET,84104,"72,686","59,136","26,761",102.6,0,0,0,0,59.182,59.182,67.55052632
357,MAVERIK / MAVERIK #390 1,84780,"121,358","93,578","27,518",91.8,0,3,7,0,14.01,10.97666667,8.769
460,MAVERIK / MAVERIK 348 2,84721,"84,297","71,206","25,286",98.2,0,1,1,0,0,0,1.7
481,SLC AIRPORT / ECONOMY 3,84114,-,-,,,0,0,41,0,0,60.055,88.61281818
607,MAVERIK / MAVERIK 481 2,84404,"89,685","76,706","64,249",101.6,0,1,15,0,0,0,0
613,MAVERIK / MAVERIK #390 2,84780,"121,358","93,578","27,518",91.8,0,3,7,0,14.01,10.97666667,8.769
633,PUBLIC USE / 159 S. MAIN ST,84111,"74,870","51,624","13,030",115.1,0,22,308,0,377.45,115.2512,96.9666875
634,RMP NTO OFFICE / RMP MOAB CPE250,84532,"83,967","60,029","10,103",99.7,0,0,51,0,0,0,125.5345
675,SELECT EVR / EVR DCFC,84341,"84,905","60,169","24,949",106.9,0,0,4,0,2.145,55.6225,32.07375
689,SLC AIRPORT / ECONOMY 2,84114,-,-,,,0,0,43,0,0,60.055,88.61281818
889,MAVERIK / MAVERIK 533 2,84339,"138,720","103,971","5,830",95.8,0,0,0,0,19.899,19.899,13.84466667
1023,MAVERIK / MAVERK #538 2,84631,"101,683","75,278","2,912",115.5,0,3,10,0,0,0,0
1025,MAVERIK / MAVERIK #377 1,84655,"103,175","92,997","13,877",106.3,0,2,6,0,201.0875,216.365,179.686
1341,MAVERIK / MAVERIK 508-2,84074,"110,209","96,165","53,254",96.1,0,2,5,0,0,0,100
1421,MAVERIK / MAVERIK 348 1,84721,"84,297","71,206","25,286",98.2,0,1,1,0,0,0,1.7
1565,UVU / ADMIN LOT 1,84058,"92,919","68,069","42,952",108.2,0,0,18,0,137.1175,155.9267143,167.6108667
1713,UVU / FAST CHARGER,84058,"92,919","68,069","42,952",108.2,0,0,20,0,137.1175,155.9267143,167.6108667
4910,SALT LAKE CITY / PARKS & LAND,84104,"72,686","59,136","26,761",102.6,0,0,0,0,59.182,49.0695,67.55052632
10349,MAVERIK / MAVERIK #377 2,84655,"103,175","92,997","13,877",106.3,0,2,6,0,201.0875,216.365,179.686
10362,SALT LAKE CITY / 475 S 300 E #2,84111,"74,870","51,624","13,030",115.1,0,0,201,0,199.355,110.298,78.62944444
10556,SALT LAKE CITY / 475 S 300 E,84111,"74,870","51,624","13,030",115.1,0,0,200,0,199.355,110.298,78.62944444
14654,PUBLIC USE / RAC PARKING,84116,"80,410","67,968","34,588",113.6,0,0,1,26.4,26.4,92.546,115.6475
28922,SALT LAKE CITY / PSB-FIRE NORTH,84111,"74,870","51,624","13,030",115.1,0,0,207,0,199.355,110.298,78.62944444
37531,SALT LAKE CITY / 250 E 500 S #2,84111,"74,870","51,624","13,030",115.1,0,3,218,0,199.355,103.69025,71.56961111
37803,PUBLIC USE / 250 E 500 S,84111,"74,870","51,624","13,030",115.1,0,5,222,0,199.355,103.69025,71.56961111
39106,SALT LAKE CITY / PUB SAFETY 01,84111,"74,870","51,624","13,030",115.1,0,3,298,0,199.355,110.298,88.30235714
39335,PUBLIC USE / 475 S 300 E,84111,"74,870","51,624","13,030",115.1,0,0,200,0,199.355,110.298,78.62944444
39377,PUBLIC USE / 475 S 300 E #2,84111,"74,870","51,624","13,030",115.1,0,0,202,0,199.355,110.298,78.62944444
40216,SALT LAKE CITY / PUB SAFETY 02,84111,"74,870","51,624","13,030",115.1,0,3,299,0,199.355,110.298,88.30235714
55327,PACKSIZE / CLEAN AIR 3,84104,"72,686","59,136","26,761",102.6,0,0,0,0,0,32.13233333,73.45176471
55328,PACKSIZE / CLEAN AIR 2,84104,"72,686","59,136","26,761",102.6,0,0,0,0,0,32.13233333,73.45176471
55330,PACKSIZE / CLEAN AIR 4,84104,"72,686","59,136","26,761",102.6,0,0,0,0,0,32.13233333,73.45176471
55331,PACKSIZE / CLEAN AIR 12,84104,"72,686","59,136","26,761",102.6,0,0,0,0,0,32.13233333,73.45176471
55332,PACKSIZE / CLEAN AIR 10,84104,"72,686","59,136","26,761",102.6,0,0,0,0,0,32.13233333,73.45176471
55333,TEST / CLEAN AIR 9,84104,"72,686","59,136","26,761",102.6,0,0,0,0,0,32.13233333,73.45176471
55334,PACKSIZE / CLEAN AIR 13,84104,"72,686","59,136","26,761",102.6,0,0,0,0,0,32.13233333,73.45176471
55336,PACKSIZE / CLEAN AIR 6,84104,"72,686","59,136","26,761",102.6,0,0,0,0,0,32.13233333,73.45176471
55337,PACKSIZE / CLEAN AIR 1,84104,"72,686","59,136","26,761",102.6,0,0,0,0,0,32.13233333,73.45176471
55342,PACKSIZE / CLEAN AIR 11,84104,"72,686","59,136","26,761",102.6,0,0,0,0,0,32.13233333,73.45176471
55441,PACKSIZE / CLEAN AIR 14,84104,"72,686","59,136","26,761",102.6,0,0,0,0,0,32.13233333,73.45176471
55442,PACKSIZE / CLEAN AIR 5,84104,"72,686","59,136","26,761",102.6,0,0,0,0,0,32.13233333,73.45176471
55458,PACKSIZE / CLEAN AIR 7,84104,"72,686","59,136","26,761",102.6,0,0,0,0,0,32.13233333,73.45176471
55541,PACKSIZE / CLEAN AIR 8,84104,"72,686","59,136","26,761",102.6,0,0,0,0,0,32.13233333,73.45176471
73562,PACKSIZE / CLEAN AIR 9,84104,"72,686","59,136","26,761",102.6,0,0,0,0,0,32.13233333,73.45176471
81959,SELECT - EVR / EVR L2 A,84341,"84,905","60,169","24,949",106.9,0,0,3,0,2.145,55.6225,32.07375
94872,FLEET BUILDING / PSB-FIRE,84111,"74,870","51,624","13,030",115.1,0,0,208,0,199.355,110.298,78.62944444
