,Station Name,traffic avg 2500m,traffic avg 5000m,traffic avg 10000m
84,PUBLIC USE / 475 S 300 E #2,199.355,110.29799999999999,78.62944444444445
85,SALT LAKE CITY / PUB SAFETY 02,199.355,110.29799999999999,88.30235714285713
86,PACKSIZE / CLEAN AIR 3,0,32.13233333333333,73.45176470588234
87,PACKSIZE / CLEAN AIR 2,0,32.13233333333333,73.45176470588234
88,PACKSIZE / CLEAN AIR 4,0,32.13233333333333,73.45176470588234
89,PACKSIZE / CLEAN AIR 12,0,32.13233333333333,73.45176470588234
90,PACKSIZE / CLEAN AIR 10,0,32.13233333333333,73.45176470588234
91,TEST / CLEAN AIR 9,0,32.13233333333333,73.45176470588234
92,PACKSIZE / CLEAN AIR 13,0,32.13233333333333,73.45176470588234
93,PACKSIZE / CLEAN AIR 6,0,32.13233333333333,73.45176470588234
94,PACKSIZE / CLEAN AIR 1,0,32.13233333333333,73.45176470588234
95,PACKSIZE / CLEAN AIR 11,0,32.13233333333333,73.45176470588234
96,PACKSIZE / CLEAN AIR 14,0,32.13233333333333,73.45176470588234
97,PACKSIZE / CLEAN AIR 5,0,32.13233333333333,73.45176470588234
98,PACKSIZE / CLEAN AIR 7,0,32.13233333333333,73.45176470588234
99,PACKSIZE / CLEAN AIR 8,0,32.13233333333333,73.45176470588234
100,PACKSIZE / CLEAN AIR 9,0,32.13233333333333,73.45176470588234
101,SELECT - EVR / EVR L2 A,2.145,55.622499999999995,32.07375
102,FLEET BUILDING / PSB-FIRE,199.355,110.29799999999999,78.62944444444445
103,FLEET BUILDING / PSB-FIRE 2,199.355,110.29799999999999,78.62944444444445
104,FLEET BUILDING / LIBRARY SQUA P1,199.355,110.29799999999999,75.66647058823528
105,FLEET BUILDING / SLC FACILITIES,199.355,103.69024999999999,74.59226315789473
106,FLEET BUILDING / 159 S. MAIN ST,377.45,115.2512,96.96668749999999
107,FLEET BUILDING / SUGAR HOUSE,123.54,159.32933333333332,75.32577777777777
108,FLEET BUILDING / 300 SOUTH,199.355,115.2512,88.06816666666666
109,FLEET BUILDING / LIBERTY PARK,199.355,153.48514285714285,80.1354705882353
110,FLEET BUILDING / FAIRMONT PARK,123.54,159.32933333333332,75.32577777777777
111,FLEET BUILDING / FOREST DALE GOL,123.54,159.32933333333332,75.32577777777777
112,FLEET BUILDING / LIBERTY PARK 2,199.355,153.48514285714285,80.1354705882353
113,FLEET BUILDING / FLEET,59.181999999999995,59.181999999999995,67.55052631578947
114,FLEET BUILDING / LIBRA SQ GAR P2,199.355,103.69024999999999,75.66647058823528
115,FLEET BUILDING / LIBRARY SQ P1,199.355,103.69024999999999,75.66647058823528
116,FLEET BUILDING / INTL PEACE GARD,87.928,127.34088888888888,71.5696111111111
117,FLEET BUILDING / SORENSON MULTIC,217.44299999999998,115.48679999999999,70.44238888888889
118,FLEET BUILDING / PIONEER PARK,165.85333333333332,115.2512,88.06816666666666
119,FLEET BUILDING / LIBRARY POOL,199.355,110.29799999999999,71.5696111111111
120,FLEET BUILDING / LIBER SQ GAR P2,199.355,103.69024999999999,75.66647058823528
121,RMP NTO OFFICE / STATION 01,60.055,138.749,88.06816666666666
