,zipcode,mean_income,median income,median_income
0,84624,"73,969",,"66,736"
0,84626,"87,193",,"70,395"
0,84627,"79,326",,"77,659"
0,84628,"78,678",,"67,109"
0,84629,"117,277",,"64,406"
0,84630,"66,956",,-
0,84631,"101,683",,"75,278"
0,84632,"78,016",,"64,833"
0,84633,"92,520",,"92,232"
0,84634,"77,097",,"64,514"
0,84635,"91,084",,"76,250"
0,84636,"85,851",,"80,208"
0,84637,"79,767",,"75,000"
0,84638,"102,699",,"70,625"
0,84639,"81,970",,"76,771"
0,84640,"63,680",,"49,688"
0,84642,"77,133",,"55,250"
0,84643,"84,317",,"66,857"
0,84644,"61,810",,"58,125"
0,84645,"106,913",,"97,011"
0,84646,"76,587",,"64,125"
0,84647,"70,186",,"58,403"
0,84648,"101,966",,"90,781"
0,84649,"79,638",,"69,075"
0,84651,"104,991",,"90,774"
0,84652,"88,530",,"71,944"
0,84653,"135,968",,"103,211"
0,84654,"74,786",,"61,705"
0,84655,"103,175",,"92,997"
0,84656,"86,872",,"79,886"
0,84657,"74,364",,"54,861"
0,84660,"111,486",,"93,946"
0,84662,"83,816",,"66,222"
0,84663,"100,753",,"85,423"
0,84664,"174,613",,"123,534"
0,84665,"70,703",,"74,545"
0,84667,"84,752",,"68,750"
0,84701,"79,339",,"70,227"
0,84710,"56,673",,"49,375"
0,84711,"92,115",,"87,500"
0,84712,"56,251",,"45,313"
0,84713,"87,996",,"83,049"
0,84714,"86,621",,"70,990"
0,84715,"85,375",,"68,646"
0,84716,"74,983",,"60,521"
0,84718,"50,260",,"50,250"
0,84719,"61,389",,"63,000"
0,84720,"78,157",,"60,585"
0,84721,"84,297",,"71,206"
0,84722,"86,554",,"69,444"
0,84723,"72,937",,"58,438"
0,84724,"61,531",,"56,250"
0,84725,"76,996",,"66,875"
0,84726,"63,005",,"44,904"
0,84728,"70,367",,"63,889"
0,84729,"83,491",,"61,563"
0,84730,"117,453",,"96,563"
0,84731,N,,-
0,84732,"65,296",,-
0,84733,"113,390",,-
0,84734,"45,303",,"45,179"
0,84735,"85,759",,"93,125"
0,84736,"55,629",,"48,750"
0,84737,"89,350",,"65,381"
0,84738,"102,036",,"67,083"
0,84739,"103,108",,"72,396"
0,84740,"40,258",,-
0,84741,"89,941",,"69,500"
0,84742,"149,484",,-
0,84743,"46,605",,-
0,84744,"57,809",,"58,594"
0,84745,"68,502",,"56,392"
0,84746,"90,410",,"77,364"
0,84747,"82,970",,"87,614"
0,84749,"111,007",,"67,500"
0,84750,"40,381",,"26,908"
0,84751,"89,052",,"82,928"
0,84752,"73,836",,"60,625"
0,84753,-,,-
0,84754,"80,813",,"62,452"
0,84755,"162,085",,-
0,84756,"59,189",,-
0,84757,"90,910",,"72,188"
0,84758,"92,465",,"87,411"
0,84759,"80,293",,"64,962"
0,84760,"65,297",,"39,449"
0,84761,"67,946",,"48,599"
0,84762,"86,059",,"71,121"
0,84763,"57,248",,"48,438"
0,84764,"88,292",,"57,027"
0,84765,"114,839",,"91,625"
0,84766,"81,304",,"82,961"
0,84767,"153,010",,"69,500"
0,84770,"84,318",,"64,499"
0,84772,"116,679",,"95,769"
0,84773,"71,261",,-
0,84774,"125,982",,"87,344"
0,84775,"76,536",,"86,989"
0,84776,"74,208",,"54,519"
0,84779,"95,587",,"92,750"
0,84780,"121,358",,"93,578"
0,84781,"113,683",,"119,145"
0,84782,"87,955",,"103,142"
0,84783,"101,507",,"71,167"
0,84784,"88,796",,"65,179"
0,84790,"106,938",,"81,405"
0,86044,"44,265",,"22,935"
0,86514,"55,305",,"43,068"
