,Unnamed: 0,Station Name,mean_income,median_income,population,sex_ratio,poi_number_100m,poi_number_1000m,traffic_avg_2500m,traffic_avg_5000m,traffic_avg_10000m,Hours Used/Day,Hours Charged/Day,kWh/Day,Sessions/Day
36,93,UVU / PARKING W2,92919.0,68069.0,42952.0,108.2,0,4,137.1175,181.1093333,167.6108667,5.859582614,4.258694588,15.38113212,2.222797927
37,98,MAVERIK / MAVERIK 488 2,164948.0,126041.0,48594.0,106.4,0,2,144.5435,169.9277143,127.82725,0.7624035263,0.6936959415,3.657730539,1.556886228
38,115,SLC AIRPORT / HOURLY 3,80410.0,67968.0,34588.0,113.6,3,49,0.0,1.69,88.61281818,16.10926937,2.013716153,10.66683193,1.268907563
39,118,UVU / PARKING SVCS 1,92919.0,68069.0,42952.0,108.2,0,16,137.1175,136.864875,167.6108667,20.21824773,3.077657233,9.281960168,2.137316562
40,138,MAVERIK / MAVERIK 508-1,110209.0,96165.0,53254.0,96.1,2,5,0.0,0.0,100.0,0.4772324026,0.4568470041,11.93237173,1.565445026
41,148,MAVERIK / MAVERIK 488 1,164948.0,126041.0,48594.0,106.4,0,2,144.5435,169.9277143,127.82725,0.4152202643,0.3691642193,9.828947137,1.841409692
42,151,SLC AIRPORT / HOURLY 2,80410.0,67968.0,34588.0,113.6,3,49,0.0,1.69,88.61281818,35.94459939,4.698823283,22.95619598,1.286432161
43,175,MAVERIK / MAVERIK 481 1,89685.0,76706.0,64249.0,101.6,1,15,0.0,0.0,0.0,0.7313541667,0.7074400253,18.63082955,1.693181818
44,185,SLC AIRPORT / HOURLY 4,80410.0,67968.0,34588.0,113.6,3,49,0.0,1.69,88.61281818,43.32210297,4.537627666,23.76092424,1.262626263
45,232,SALT LAKE CITY / PLAZA 349 #2,74870.0,51624.0,13030.0,115.1,3,299,199.355,110.298,88.30235714,21.13320851,6.464045359,25.0885443,1.424050633
46,236,MAVERIK / MAVERIK 533 1,138720.0,103971.0,5830.0,95.8,0,0,19.899,19.899,13.84466667,0.612306338,0.5973767606,15.42292958,1.478873239
47,303,SELECT EVR / EVR L2 B,84905.0,60169.0,24949.0,106.9,0,3,2.145,55.6225,32.07375,3.850891089,2.191221122,8.024089109,1.465346535
48,304,SELECT EVR / EVR L2 A,84905.0,60169.0,24949.0,106.9,0,3,2.145,55.6225,32.07375,4.087919622,2.925583629,10.46922872,1.335106383
49,309,RMP NTO OFFICE / RMP MOAB CT4K,83967.0,60029.0,10103.0,99.7,1,48,0.0,0.0,125.5345,2.821937135,2.240749269,10.17848684,1.657894737
50,335,FLEET / PSB-FIRE NORTH,74870.0,51624.0,13030.0,115.1,0,207,199.355,110.298,78.62944444,16.73088435,2.322857143,13.10297959,1.142857143
51,356,FLEET / FLEET,72686.0,59136.0,26761.0,102.6,0,0,59.182,59.182,67.55052632,69.48603983,6.07415241,14.31348675,2.246688742
52,357,MAVERIK / MAVERIK #390 1,121358.0,93578.0,27518.0,91.8,3,7,14.01,10.97666667,8.769,0.9787296296,0.9566654321,26.35131556,1.48
53,460,MAVERIK / MAVERIK 348 2,84297.0,71206.0,25286.0,98.2,1,1,0.0,0.0,1.7,1.987113188,1.892879024,9.860336449,1.46728972
54,607,MAVERIK / MAVERIK 481 2,89685.0,76706.0,64249.0,101.6,1,15,0.0,0.0,0.0,1.283501622,1.148742903,6.735729927,1.656934307
55,613,MAVERIK / MAVERIK #390 2,121358.0,93578.0,27518.0,91.8,3,7,14.01,10.97666667,8.769,1.612113936,1.542954331,6.080254237,1.313559322
56,633,PUBLIC USE / 159 S. MAIN ST,74870.0,51624.0,13030.0,115.1,22,308,377.45,115.2512,96.9666875,13.68395913,10.57739889,42.43334387,6.98467433
57,634,RMP NTO OFFICE / RMP MOAB CPE250,83967.0,60029.0,10103.0,99.7,0,51,0.0,0.0,125.5345,1.321805556,1.046923611,28.64565,1.8125
58,675,SELECT EVR / EVR DCFC,84905.0,60169.0,24949.0,106.9,0,4,2.145,55.6225,32.07375,1.050059425,1.008934494,21.67169154,1.626865672
